Date,Degree,Minute,Arcsec,Decimal
30th Sept,45,38,26.5,45.6407
1st Oct,45,58,13.7,45.9705
2nd Oct,46,20,38.5,46.344
3rd Oct,46,40,50.9,46.6808
4th Oct,47,3,42.5,47.0618
5th Oct,47,24,21.4,47.4059
6th Oct,47,47,40.9,47.7947
7th Oct,48,8,47.5,48.1465
8th Oct,48,32,36.1,48.5434
9th Oct,48,54,11.6,48.9032
10th Oct,49,18,30.4,49.3084
11th Oct,49,40,35.9,49.6766
12th Oct,50,5,26.1,50.0906
13th Oct,50,28,2.7,50.4674
14th Oct,50,53,25.3,50.8904
15th Oct,51,16,33.9,51.2761
16th Oct,51,42,29.9,51.7083
17th Oct,52,6,11.7,52.1033
18th Oct,52,32,42.2,52.5451
19th Oct,52,56,58.3,52.9495
20th Oct,53,23,15.1,53.3875
21st Oct,53,48,56.4,53.8157
22nd Oct,54,16,40.1,54.2778
23rd Oct,54,42,9.2,54.7026
24th Oct,55,10,31.9,55.1755
25th Oct,55,36,39.9,55.6111
26th Oct,56,5,43.2,56.0953
27th Oct,56,32,31.8,56.5422
28th Oct,57,2,17.4,57.0382
29th Oct,57,29,48.1,57.4967
30th Oct,58,0,17.4,58.0048
31st Oct,58,28,31.8,58.4755
1st Nov,58,58,56.8,58.9824
2nd Nov,59,28,45.9,59.4794
3rd Nov,60,0,46.8,60.013
4th Nov,60,30,33,60.5092
5th Nov,60,3,21.5,60.056
6th Nov,61,33,55.5,61.5654
7th Nov,62,7,32.7,62.1258
8th Nov,62,38,55.4,62.6487
9th Nov,63,13,22.2,63.2228
10th Nov,63,45,34.5,63.7596
11th Nov,64,20,51.2,64.3476
12th Nov,64,53,53.7,64.8983
13th Nov,65,30,0.6,65.5002
14th Nov,66,3,53.4,66.0648
15th Nov,66,40,50.5,66.6807
16th Nov,67,15,33.6,67.2593
17th Nov,67,52,53.9,67.8816
18th Nov,68,29,53.9,68.4983
19th Nov,69,8,2,69.1339
20th Nov,69,44,23,69.7397
21st Nov,70,23,45.3,70.3959
22nd Nov,71,0,52.6,71.0146
23rd Nov,71,40,11.4,71.6698
24th Nov,72,18,47.7,72.3132
25th Nov,72,59,30.9,72.9919
26th Nov,73,37,55.4,73.6321
27th Nov,74,19,6.4,74.3184
28th Nov,74,57,54.7,74.9652
29th Nov,75,39,18.4,75.6551
30th Nov,76,18,13.2,76.3037
1st Dec,76,59,25.6,76.9904
2nd Dec,77,37,58.5,77.6329
3rd Dec,78,18,22.3,78.3062
4th Dec,78,55,49,78.9303
5th Dec,79,34,24.9,79.5736
6th Dec,80,9,34.2,80.1595
7th Dec,80,44,48.3,80.7468
8th Dec,81,15,48.3,81.2634
9th Dec,81,45,15.5,81.7543
10th Dec,82,9,19,82.1553
11th Dec,82,29,35.3,82.4931
12th Dec,82,43,6.8,82.7186
13th Dec,82,50,23.7,82.8399
14th Dec,82,50,5.6,82.8349
15th Dec,82,41,53,82.6981
16th Dec,82,26,39.1,82.4442
17th Dec,82,3,23.6,82.0566
18th Dec,81,34,50.8,81.5808
19th Dec,80,59,13.1,80.987
20th Dec,80,20,19.1,80.3386
21st Dec,79,35,27,79.5908
22nd Dec,78,48,55.4,78.8154
23rd Dec,77,57,19.1,77.9553
24th Dec,77,5,10.1,77.0861
25th Dec,76,8,34.1,76.1428
26th Dec,75,12,9.3,75.2026
27th Dec,74,11,44.1,74.1956
28th Dec,73,11,58.5,73.1996
29th Dec,72,8,32.3,72.1423
30th Dec,71,6,4.8,71.1013
31st Dec,70,0,12.6,70.0035